problem_id,turn_id,local_annotation_sec,global_annotation_sec,correct,uncertain,matched,transcript_index,start_sec,end_sec,student_text,alignment_gap_sec,student_id,condition,problem59_offset_sec
58,001,55.038,55.038,true,false,True,0.0,48.682,50.134,They're the same.,4.903999999999996,pslc01-c1,c1,941.0
58,002,92.128,92.128,true,false,True,1.0,84.232,85.604,Vertically down.,6.524000000000001,pslc01-c1,c1,941.0
58,003,127.131,127.131,true,true,True,2.0,120.784,122.087,Vertical down??,5.043999999999997,pslc01-c1,c1,941.0
58,004,159.707,159.707,true,false,True,3.0,153.156,154.668,Yes. Straight down.,5.038999999999987,pslc01-c1,c1,941.0
58,005,172.401,172.401,true,false,True,4.0,166.029,167.191,Nine point eight.,5.210000000000008,pslc01-c1,c1,941.0
58,006,192.543,192.543,true,false,True,5.0,185.788,187.44,Gravity. Straight down.,5.103000000000009,pslc01-c1,c1,941.0
58,007,211.091,211.091,true,true,True,6.0,204.667,206.078,Straight down.,5.013000000000005,pslc01-c1,c1,941.0
58,008,240.624,240.624,true,false,True,7.0,234.552,236.024,Yes. Straight down.,4.599999999999994,pslc01-c1,c1,941.0
58,009,252.309,252.309,true,false,True,8.0,246.583,247.645,Nine point eight.,4.663999999999987,pslc01-c1,c1,941.0
58,010,281.592,281.592,true,true,True,9.0,274.688,276.63,Nine point eight meters??,4.961999999999989,pslc01-c1,c1,941.0
58,011,308.764,308.764,true,true,True,10.0,301.933,304.236,Nine point eight meters per second.,4.52800000000002,pslc01-c1,c1,941.0
58,012,349.077,349.077,true,false,True,11.0,342.113,344.396,Nine point eight plus nine point eight.,4.680999999999983,pslc01-c1,c1,941.0
58,013,363.619,363.619,true,false,True,12.0,357.44100000000003,358.843,They're the same.,4.7760000000000105,pslc01-c1,c1,941.0
58,014,377.32,377.32,true,false,True,13.0,371.127,372.208,Yes.,5.111999999999966,pslc01-c1,c1,941.0
58,015,396.253,396.253,true,false,True,14.0,391.237,392.549,They're the same.,3.7040000000000077,pslc01-c1,c1,941.0
59,001,76.095,1017.095,true,false,True,15.0,1011.494,1012.785,They're the same.,4.310000000000059,pslc01-c1,c1,941.0
59,002,114.81,1055.81,true,false,True,16.0,1046.514,1051.233,"Gravity, vertically down, and air resistance.",4.576999999999998,pslc01-c1,c1,941.0
59,003,134.846,1075.846,true,false,True,17.0,1069.23,1070.952,Vertically down.,4.8940000000000055,pslc01-c1,c1,941.0
59,004,148.932,1089.932,true,false,True,18.0,1084.59,1086.283,Yes. Vertically down.,3.6490000000001146,pslc01-c1,c1,941.0
59,005,163.408,1104.408,false,false,True,19.0,1095.136,1098.14,Two point eight meters per second squared.,6.267999999999802,pslc01-c1,c1,941.0
59,006,181.494,1122.494,true,false,True,20.0,1114.577,1117.972,"Two point eight. Er, nine point eight.",4.5219999999999345,pslc01-c1,c1,941.0
59,007,201.595,1142.595,true,false,True,21.0,1136.44,1138.583,"Gravity, vertically down.",4.011999999999944,pslc01-c1,c1,941.0
59,008,220.064,1161.064,true,false,True,22.0,1155.278,1157.011,Vertically down.,4.053000000000111,pslc01-c1,c1,941.0
59,009,234.742,1175.742,true,false,True,23.0,1170.223,1172.175,Yes. Vertically down.,3.5670000000000073,pslc01-c1,c1,941.0
59,010,246.595,1187.595,true,false,True,24.0,1181.66,1183.032,Nine point eight.,4.563000000000102,pslc01-c1,c1,941.0
59,011,276.351,1217.351,true,true,True,25.0,1211.045,1213.188,Nine point eight meters??,4.163000000000011,pslc01-c1,c1,941.0
59,012,300.279,1241.279,true,false,True,26.0,1235.39,1237.633,Nine point eight meters per second.,3.645999999999958,pslc01-c1,c1,941.0
59,013,318.216,1259.216,true,false,True,27.0,1253.407,1256.201,Nineteen point six meters per second.,3.0149999999998727,pslc01-c1,c1,941.0
59,014,332.957,1273.9569999999999,true,true,True,28.0,1268.484,1269.895,They are the same??,4.061999999999898,pslc01-c1,c1,941.0
59,015,345.915,1286.915,true,false,True,29.0,1282.293,1283.084,Yes.,3.8309999999999036,pslc01-c1,c1,941.0
59,016,365.76,1306.76,true,false,True,30.0,1301.728,1302.88,They are the same.,3.8799999999998818,pslc01-c1,c1,941.0
58,001,105.756,105.756,false,true,True,0.0,98.959,100.291,I don't know.,5.465000000000003,pslc02-c2,c2,1172.0
58,002,153.076,153.076,false,true,True,1.0,146.079,147.46,Vertically up.,5.6159999999999854,pslc02-c2,c2,1172.0
58,003,188.15,188.15,true,true,True,2.0,182.115,183.007,Down.,5.143000000000001,pslc02-c2,c2,1172.0
58,004,208.362,208.362,true,false,True,3.0,201.269,204.696,"Yes, there's an acceleration and it is going down.",3.665999999999997,pslc02-c2,c2,1172.0
58,005,220.352,220.352,false,true,True,4.0,216.921,218.074,I don't know.,2.2779999999999916,pslc02-c2,c2,1172.0
58,006,247.387,247.387,false,true,True,5.0,241.54,243.914,The same as the man's acceleration.,3.473000000000013,pslc02-c2,c2,1172.0
58,007,266.077,266.077,false,true,True,6.0,261.066,262.478,I don't know.,3.5989999999999895,pslc02-c2,c2,1172.0
58,008,288.98,288.98,false,true,True,7.0,285.001,286.253,I don't know.,2.7270000000000323,pslc02-c2,c2,1172.0
58,009,336.132,336.132,false,false,True,8.0,329.555,331.108,Vertically down.,5.024000000000001,pslc02-c2,c2,1172.0
58,010,357.106,357.106,true,false,True,9.0,352.831,353.722,Down.,3.3840000000000146,pslc02-c2,c2,1172.0
58,011,374.511,374.511,true,false,True,10.0,369.898,370.789,Down.,3.722000000000037,pslc02-c2,c2,1172.0
58,012,388.125,388.125,true,false,True,11.0,383.327,384.438,Vertically down.,3.687000000000012,pslc02-c2,c2,1172.0
58,013,403.442,403.442,false,true,True,12.0,398.087,398.938,One.,4.504000000000019,pslc02-c2,c2,1172.0
58,014,446.539,446.539,false,true,True,13.0,439.003,441.927,Wh+what is the weight of the keys?,4.611999999999966,pslc02-c2,c2,1172.0
58,015,468.463,468.463,true,false,True,14.0,462.802,465.506,W equals M times G.,2.9570000000000505,pslc02-c2,c2,1172.0
58,016,527.901,527.901,false,true,True,15.0,523.18,524.151,Three meters.,3.75,pslc02-c2,c2,1172.0
58,017,551.17,551.17,true,false,True,16.0,545.083,547.777,Nine point eight meters per second.,3.3929999999999154,pslc02-c2,c2,1172.0
58,018,568.608,568.608,true,false,True,17.0,563.229,566.273,Nineteen point six meters per second squared.,2.3349999999999227,pslc02-c2,c2,1172.0
58,019,588.595,588.595,true,false,True,18.0,577.235,581.724,"The velocities are the same, as long as he's holding on to his keys.",6.870999999999981,pslc02-c2,c2,1172.0
58,020,601.536,601.536,false,false,True,19.0,596.277,597.198,No.,4.337999999999965,pslc02-c2,c2,1172.0
58,021,635.509,635.509,true,false,True,20.0,629.78,631.243,They are the same.,4.265999999999963,pslc02-c2,c2,1172.0
59,001,76.449,1248.449,true,false,True,21.0,1242.955,1246.069,His velocity is the same as his spectacles.,2.380000000000109,pslc02-c2,c2,1172.0
59,002,112.091,1284.091,false,false,True,22.0,1278.222,1279.725,Vertically down.,4.3659999999999854,pslc02-c2,c2,1172.0
59,003,145.982,1317.982,true,false,True,23.0,1313.218,1314.711,Vertically down.,3.270999999999958,pslc02-c2,c2,1172.0
59,004,161.396,1333.396,true,false,True,24.0,1328.32,1330.263,Yes. Down.,3.133000000000038,pslc02-c2,c2,1172.0
59,005,184.119,1356.119,false,true,True,25.0,1349.535,1352.219,W equals M times S.,3.8999999999998636,pslc02-c2,c2,1172.0
59,006,202.989,1374.989,false,true,True,26.0,1368.018,1369.771,How much does the professor weigh?,5.218000000000075,pslc02-c2,c2,1172.0
59,007,225.88,1397.88,false,false,True,27.0,1388.952,1391.436,W equals M times S.,6.444000000000187,pslc02-c2,c2,1172.0
59,008,251.156,1423.156,false,false,True,28.0,1416.298,1419.763,All objects in free fall have the same acceleration.,3.393000000000029,pslc02-c2,c2,1172.0
59,009,297.348,1469.348,false,false,True,29.0,1464.021,1465.463,Vertically down.,3.884999999999991,pslc02-c2,c2,1172.0
59,010,320.025,1492.025,true,false,True,30.0,1486.933,1488.134,Straight down.,3.8910000000000764,pslc02-c2,c2,1172.0
59,011,338.431,1510.431,true,false,True,31.0,1505.483,1506.494,Straight down.,3.9370000000001255,pslc02-c2,c2,1172.0
59,012,356.388,1528.388,true,false,True,32.0,1523.235,1524.807,Yes. Down.,3.5809999999999036,pslc02-c2,c2,1172.0
59,013,372.433,1544.433,true,false,True,33.0,1539.243,1542.027,Nine point eight meters per second squared.,2.405999999999949,pslc02-c2,c2,1172.0
59,014,401.467,1573.467,false,false,True,34.0,1567.058,1570.583,Nineteen point six meters per second squared.,2.8840000000000146,pslc02-c2,c2,1172.0
59,015,425.08,1597.08,true,false,True,35.0,1591.494,1595.129,Nine point eight meters per second.,1.9510000000000218,pslc02-c2,c2,1172.0
59,016,443.316,1615.316,true,false,True,36.0,1609.556,1613.352,Nineteen point six meters per second.,1.9639999999999418,pslc02-c2,c2,1172.0
59,017,457.363,1629.363,true,false,True,37.0,1624.538,1626.04,They are the same.,3.3230000000000928,pslc02-c2,c2,1172.0
59,018,471.585,1643.585,false,true,True,38.0,1638.598,1639.519,No.,4.066000000000031,pslc02-c2,c2,1172.0
59,019,492.909,1664.909,true,false,True,39.0,1659.769,1661.442,The displacement is the same.,3.4670000000000982,pslc02-c2,c2,1172.0
58,001,142.064,142.064,false,true,False,,,,,,pslc03-c3,c3,1956.0
58,002,197.23,197.23,false,true,True,0.0,187.057,188.89,"Uh, vertically up.",8.340000000000003,pslc03-c3,c3,1956.0
58,003,240.571,240.571,false,true,True,1.0,228.18099999999998,229.292,It will pull him down.,11.278999999999996,pslc03-c3,c3,1956.0
58,004,258.109,258.109,true,false,True,2.0,250.88400000000001,252.566,Yes. Down.,5.542999999999978,pslc03-c3,c3,1956.0
58,005,274.25,274.25,true,false,True,3.0,266.064,267.587,Nine point eight.,6.663000000000011,pslc03-c3,c3,1956.0
58,006,295.51,295.51,true,false,True,4.0,287.419,289.072,Vertically down.,6.437999999999988,pslc03-c3,c3,1956.0
58,007,321.017,321.017,true,false,True,5.0,313.399,315.512,It's pulling him down.,5.5049999999999955,pslc03-c3,c3,1956.0
58,008,339.655,339.655,true,false,True,6.0,334.162,335.153,Down.,4.501999999999953,pslc03-c3,c3,1956.0
58,009,355.244,355.244,true,false,True,7.0,349.221,350.122,Down.,5.122000000000014,pslc03-c3,c3,1956.0
58,010,366.387,366.387,true,false,True,8.0,360.146,361.578,Nine point eight.,4.809000000000026,pslc03-c3,c3,1956.0
58,011,419.626,419.626,false,true,True,9.0,413.027,414.469,Eight point seven.,5.156999999999982,pslc03-c3,c3,1956.0
58,012,443.494,443.494,true,false,True,10.0,437.455,438.777,Nine point eight.,4.717000000000041,pslc03-c3,c3,1956.0
58,013,464.635,464.635,true,false,False,,,,,,pslc03-c3,c3,1956.0
58,014,481.616,481.616,true,false,True,12.0,474.903,476.055,They're the same.,5.560999999999979,pslc03-c3,c3,1956.0
58,015,497.469,497.469,false,true,True,13.0,491.313,492.074,No.,5.394999999999982,pslc03-c3,c3,1956.0
58,016,516.514,516.514,true,false,True,14.0,510.647,511.559,They're the same.,4.954999999999984,pslc03-c3,c3,1956.0
59,001,77.53,2033.53,true,false,True,16.0,2027.378,2028.64,They're the same.,4.889999999999873,pslc03-c3,c3,1956.0
59,002,114.284,2070.284,false,false,True,17.0,2062.518,2063.671,Vertically down.,6.613000000000284,pslc03-c3,c3,1956.0
59,003,148.919,2104.919,true,false,True,18.0,2097.251,2098.372,Down.,6.5470000000000255,pslc03-c3,c3,1956.0
59,004,173.29,2129.29,true,false,True,19.0,2123.255,2124.146,Down.,5.143999999999778,pslc03-c3,c3,1956.0
59,005,185.457,2141.457,true,false,True,20.0,2134.003,2135.636,Nine point eight.,5.820999999999913,pslc03-c3,c3,1956.0
59,006,204.582,2160.582,true,false,True,23.0,2155.21,2157.463,Down. Vertically down.,3.118999999999687,pslc03-c3,c3,1956.0
59,007,231.503,2187.503,true,false,True,24.0,2180.65,2181.772,Down.,5.731000000000222,pslc03-c3,c3,1956.0
59,008,249.926,2205.926,true,false,True,25.0,2199.98,2201.14,Down.,4.786000000000058,pslc03-c3,c3,1956.0
59,009,264.7,2220.7,true,false,True,26.0,2215.219,2216.691,Vertically down.,4.0090000000000146,pslc03-c3,c3,1956.0
59,010,275.137,2231.137,true,false,True,27.0,2226.049,2227.411,Nine point eight.,3.7260000000001128,pslc03-c3,c3,1956.0
59,011,313.771,2269.771,false,true,True,28.0,2261.548,2263.101,Nineteen point six. <nspn>,6.670000000000073,pslc03-c3,c3,1956.0
59,012,339.096,2295.096,true,false,True,29.0,2288.501,2290.093,Nine point eight.,5.003000000000156,pslc03-c3,c3,1956.0
59,013,357.907,2313.907,true,false,True,30.0,2308.555,2310.468,Nineteen point six.,3.4390000000003056,pslc03-c3,c3,1956.0
59,014,377.953,2333.953,true,false,True,31.0,2327.69,2328.931,They're the same.,5.0219999999999345,pslc03-c3,c3,1956.0
59,015,392.646,2348.646,false,true,True,32.0,2342.49,2343.361,No.,5.285000000000309,pslc03-c3,c3,1956.0
